ciao,cześć
passaporto,paszport
documento,dokument
biglietto,bilet
prenotare,rezerwować
partenza,wyjazd
arrivo,przyjazd
ritardo,opóźnienie
velocità,prędkość
fermata,przystanek
stazione,stacja
binario,peron
treno,pociąg
metro,metro
taxi,taksówka
bicicletta,rower
moto,motocykl
aereo,samolot
volo,lot
nave,statek
mare,morze
spiaggia,plaża
albergo,hotel
camera,pokój
chiave,klucz
porta,drzwi
reception,recepcja
guida,przewodnik
mappa,mapa
indirizzo,adres
straniero,cudzoziemiec
confine,granica
città,miasto
villaggio,wioska
capitale,stolica
regione,region
nazione,naród/kraj
mondo,świat
Europa,Europa
Italia,Włochy
Polonia,Polska
Francia,Francja
Germania,Niemcy
Spagna,Hiszpania
Inghilterra,Anglia
America,Ameryka
Asia,Azja
sud,południe
nord,północ
est,wschód
ovest,zachód
destra,prawa strona
sinistra,lewa strona
centro,centrum
angolo,róg
vicolo,alejka
ponte,most
strada,ulica/droga
autostrada,autostrada
benzina,paliwo
carburante,paliwo
parcheggio,parking
traffico,ruch uliczny
incidente,wypadek
polizia,policja
aiuto,pomoc
emergenza,awaria/nagły wypadek
sicurezza,bezpieczeństwo
pericolo,niebezpieczeństwo
pericoloso,niebezpieczny
salvare,ratować
perdere,zgubić/stracić
trovare,znaleźć
cercare,szukać
seguire,śledzić/podążać
mostrare,pokazać
chiedere,pytać
spiegare,wyjaśniać
capire,rozumieć
conoscere,poznać/znać
ricordare,pamiętać
dimenticare,zapominać
parlare,mówić
tradurre,tłumaczyć
imparare,uczyć się
insegnare,uczyć
esempio,przykład
numero,liczba/numer
indirizzo,adres
nome,imię
cognome,nazwisko
lunedì,poniedziałek
martedì,wtorek
mercoledì,środa
giovedì,czwartek
venerdì,piątek
sabato,sobota
domenica,niedziela
gennaio,styczeń
febbraio,luty
marzo,marzec
aprile,kwiecień
maggio,maj
giugno,czerwiec
luglio,lipiec
agosto,sierpień
settembre,wrzesień
ottobre,październik
novembre,listopad
dicembre,grudzień
primavera,wiosna
estate,lato
autunno,jesień
inverno,zima
tempo,pogoda/czas
nuvola,chmura
neve,śnieg
ghiaccio,lód
tempesta,burza
fulmine,błyskawica
tuono,grzmot
calore,ciepło
freddo,zimno
ombra,cień
maree,pływy
onda,fala
sabbia,piasek
pietra,kamień
roccia,skała
animale,zwierzę
uccello,ptak
cane,pies
gatto,kot
cavallo,koń
mucca,krowa
pecora,owca
capra,koza
pollo,kura
ape,pszczoła
farfalla,motyl
ragno,pająk
insetto,owad
pesce,ryba
squalo,rekin
balena,wieloryb
natura,natura
ambiente,środowisko
albero,drzewo
fiore,kwiat
foglia,liść
radice,korzeń
ramo,gałąź
frutto,owoc
seme,nasiono
pianta,roślina
giardino,ogród
parco,park
foresta,las
fiume,rzeka
lago,jezioro
isola,wyspa
deserto,pustynia
cielo,niebo
stella,gwiazda
pianeta,planeta
spazio,kosmos
terra,Ziemia
fuoco,ogień
aria,powietrze
acqua,woda
energia,energia
luce,światło
buio,ciemność
mattina,rano
pomeriggio,popołudnie
sera,wieczór
notte,noc
sveglia,budzik
sonno,sen
sogno,marzenie/sen
riposo,odpoczynek
vacanza,urlop
lavoro,praca
giornata,dzień
settimana,tydzień
mese,miesiąc
anno,rok
futuro,przyszłość
passato,przeszłość
presente,teraźniejszość
persona,osoba
uomo,mężczyzna
donna,kobieta
ragazzo,chłopak
ragazza,dziewczyna
bambino,dziecko
bambina,dziewczynka
amico,przyjaciel
amica,przyjaciółka
famiglia,rodzina
genitore,rodzic
madre,matka
padre,ojciec
figlio,syn
figlia,córka
fratello,brat
sorella,siostra
nonno,dziadek
nonna,babcia
zio,wujek
zia,ciocia
cugino,kuzyn
cugina,kuzynka
marito,mąż
moglie,żona
amore,miłość
cuore,serce
amicizia,przyjaźń
rispetto,szacunek
fiducia,zaufanie
aiuto,pomoc
problema,problem
errore,błąd
esempio,przykład
motivo,powód
ragione,racja/powód
scelta,wybór
decisione,decyzja
possibilità,możliwość
bisogno,potrzeba
desiderio,pragnienie
speranza,nadzieja
paura,strach
felicità,szczęście
tristezza,smutek
sorriso,uśmiech
risata,śmiech
pianto,płacz
voce,głos
rumore,hałas
silenzio,cisza
colpa,wina
fortuna,szczęście/los
caso,przypadek
vero,prawda
falso,fałsz
segreto,tajemnica
ricordo,wspomnienie
idea,pomysł
pensiero,myśl
opinione,opinia
domanda,pytanie
risposta,odpowiedź
conversazione,rozmowa
discorso,mowa/rozmowa
incontro,spotkanie
festa,impreza/święto
regalo,prezent
invito,zaproszenie
amico,znajomy
vicino,sąsiad/bliski
ospite,gość
casa,dom
famiglia,rodzina
tempo,czas
giorno,dzień
vita,życie
mondo,świat
lavoro,praca
denaro,pieniądze
successo,sukces
futuro,przyszłość
sogno,marzenie
obiettivo,cel
energia,energia
forza,siła
libertà,wolność
pace,pokój
guerra,wojna
legge,prawo
diritto,prawo/uprawnienie
stato,państwo
governo,rząd
città,miasto
comunità,wspólnota
società,społeczeństwo
